rosbagTimestamp,x,y,z
1575857931493960718,-0.975799977779,1.82106484312,0.770239354112
1575857933440691123,-0.931517720222,1.56158918657,0.927710738079
1575857935267039722,-0.845360100269,1.29516007882,0.801967674435
1575857936896213112,-0.777966737747,1.08149564933,0.749980573086
1575857938413812247,-0.706705570221,0.870695990014,0.673898829593
1575857939821205847,-0.649132788181,0.677839296431,0.599978285051
1575857941094774099,-0.601973831654,0.50394755769,0.552288427174
1575857942293423928,-0.5421397686,0.33572171745,0.50514323469
1575857943395128515,-0.47216168046,0.171470284152,0.455028954737
1575857944378896270,-0.431409955025,0.0268341413542,0.415747812562
1575857945324817212,-0.392241328955,-0.10490255806,0.410286103198
1575857946396745560,-0.34655341506,-0.250925817701,0.338601850018
1575857947202776515,-0.318565547466,-0.33413622282,0.349521775959
1575857947945979435,-0.293372809887,-0.428446845659,0.314783564153
1575857948645518038,-0.254527032375,-0.502447685358,0.301685706066
1575857949291266385,-0.219011515379,-0.589973353414,0.294660463014
1575857950351732655,-0.175815060735,-0.698126469144,0.26115750239
1575857950863369532,-0.167986571789,-0.729533936558,0.285815566768
1575857951384005995,-0.166670933366,-0.794163802681,0.244960418592
1575857951887450424,-0.154270201921,-0.858419934691,0.243854758529
1575857952335958349,-0.143373310566,-0.911192753864,0.24637350415
1575857952715056217,-0.127627924085,-0.965147053821,0.256494986511
1575857953086263155,-0.109734609723,-1.01610092529,0.236862618982
1575857953438456295,-0.0999787300825,-1.04856390218,0.16842009121
1575857953792528748,-0.0812115296721,-1.0773982413,0.180138478104
1575857954133573020,-0.0710637420416,-1.1158049632,0.203995622255
1575857954437614430,-0.0699166357517,-1.13654821913,0.188462777815
1575857954720423508,-0.0629515051842,-1.16310756752,0.202190764366
1575857954990017013,-0.0541138835251,-1.18844705211,0.201037065143
1575857955245340342,-0.0470184274018,-1.21174424665,0.189162635424
1575857956465947476,-0.0397454462945,-1.23079330109,0.170766398196
1575857956716075045,-0.0177484508604,-1.25570636831,0.187190496008
1575857956920883413,-0.013743840158,-1.2695572973,0.18218713764
1575857958099838276,-0.0103663718328,-1.28681129544,0.172387960864
1575857958318962810,-0.0124615775421,-1.31258493353,0.191847052963
1575857958504864103,-0.0115615548566,-1.32293218496,0.178656667665
1575857958703344009,-0.00766615383327,-1.34097666179,0.163092455398
1575857958853348068,-0.0035369778052,-1.35593528114,0.165311839235
1575857959004677893,-0.000991470762528,-1.36560649012,0.172213210894
1575857959151454674,0.00169727730099,-1.37408703822,0.17455612324
1575857959274527637,0.00561734382063,-1.384035891,0.165061717526
1575857959419678895,0.0101767070591,-1.39495499049,0.148509749659
1575857959562279635,0.0141161475331,-1.40516598588,0.134792936094
1575857959700077738,0.0161893833429,-1.40870173175,0.139857692927
1575857959855915353,0.016908120364,-1.41395801907,0.163981959362
1575857959998546800,0.0191009100527,-1.4245648972,0.184891823558
1575857960122971673,0.0233472138643,-1.44027572403,0.196697839893
