rosbagTimestamp,x,y,z
1575866341350590576,-0.162477120757,-2.11939426517,0.0
1575866343846550158,-0.175243273377,-1.83762463369,0.0
1575866346050624179,-0.185184895992,-1.47836455208,0.0
1575866347900511591,-0.194418847561,-1.18512913158,0.0
1575866349439064689,-0.199517786503,-0.940477039946,0.0
1575866350732386441,-0.20327450335,-0.733874169259,0.0
1575866351837786656,-0.205158695579,-0.558851687026,0.0
1575866352917083759,-0.238211899996,-0.392705558098,0.0
1575866353688798269,-0.267642885447,-0.272581397263,0.0
1575866354320920680,-0.292050808668,-0.174534140946,0.0
1575866354887151422,-0.313273668289,-0.0866042290765,0.0
1575866355367064292,-0.332677125931,-0.0115994011507,0.0
1575866355774459491,-0.346908926964,0.0498942067091,0.0
1575866356114778565,-0.359427601099,0.103095218748,0.0
1575866356466456322,-0.372640311718,0.156829580666,0.0
1575866356708872510,-0.382094293833,0.193929612635,0.0
1575866357734563993,-0.395847499371,0.250942080972,0.0
1575866357987578081,-0.395825207233,0.25087752914,0.0
1575866358176372735,-0.395661026239,0.250728666536,0.0
1575866358308792346,-0.395643174648,0.250716745592,0.0
1575866359348829989,-0.395868599415,0.250880658328,0.0
1575866359534135933,-0.395843088627,0.250860362965,0.0
1575866359730501453,-0.395831763744,0.250855207168,0.0
1575866359931072783,-0.395823687315,0.250879585462,0.0
